,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
155,Tura,0,IN,1579987221,74,25.52,90.22,54.01,1.21
156,Laguna,75,US,1579987105,87,38.42,-121.42,63.0,5.82
157,Pevek,100,RU,1579986809,96,69.7,170.31,-16.02,3.6
158,George Town,79,MY,1579987011,88,5.41,100.34,78.01,3.0
159,Saint George,1,US,1579986682,43,37.1,-113.58,60.01,3.36
160,Kibondo,100,TZ,1579987222,90,-3.59,30.72,65.97,1.28
161,Isheyevka,96,RU,1579987222,95,54.42,48.27,26.53,5.37
162,Narsaq,100,GL,1579986989,61,60.92,-46.05,17.6,4.7
163,Tulu Bolo,92,ET,1579987222,76,8.67,38.22,59.38,5.91
164,Port Elizabeth,0,ZA,1579986887,89,-33.92,25.57,69.6,9.15
165,Geraldton,0,AU,1579987222,80,-28.77,114.6,72.46,19.3
166,Tiznit,28,MA,1579987222,90,29.58,-9.5,48.69,7.25
167,Butaritari,3,KI,1579986821,72,3.07,172.79,84.85,9.51
168,Lavrentiya,0,RU,1579987222,73,65.58,-171.0,-14.71,0.89
169,Guerrero Negro,0,MX,1579986613,43,27.98,-114.06,71.26,4.36
170,Longyearbyen,0,SJ,1579987204,58,78.22,15.64,-11.52,2.73
171,Arman,100,RU,1579987222,99,59.7,150.17,-5.67,18.48
172,Simav,2,TR,1579987222,53,39.09,28.98,31.26,2.55
173,Bathsheba,100,BB,1579986992,75,13.22,-59.52,79.21,9.98
174,Kismayo,100,SO,1579987222,89,-0.36,42.55,80.64,14.23
175,Nouadhibou,100,MR,1579987223,69,20.93,-17.03,64.69,22.32
176,Atuona,61,PF,1579986955,77,-9.8,-139.03,80.87,15.77
177,Paraguacu,8,BR,1579987223,83,-21.55,-45.74,72.86,2.82
178,Tubize,64,BE,1579987223,97,50.69,4.21,39.0,6.26
179,Hasaki,100,JP,1579987147,91,35.73,140.83,39.0,16.35
180,Puerto Colombia,99,CO,1579987166,79,10.99,-74.95,78.85,19.15
181,Lishu,0,CN,1579987223,96,43.3,124.33,-5.21,0.51
182,Zlobin,100,HR,1579987223,96,45.29,14.65,48.99,3.65
183,Yuci,100,CN,1579987223,77,37.68,112.73,27.25,5.12
184,Saint-Augustin,34,CA,1579987223,77,51.23,-58.65,16.25,12.59
185,Djambala,100,CG,1579987223,76,-2.54,14.75,73.83,2.91
186,Fortuna,100,US,1579987000,83,40.6,-124.16,62.01,7.0
187,Mahebourg,75,MU,1579987207,83,-20.41,57.7,77.0,11.41
188,Anuradhapura,100,LK,1579987223,95,8.36,80.42,68.65,4.54
189,Dingle,2,PH,1579986685,90,11.0,122.67,74.05,4.92
190,Ampanihy,0,MG,1579987224,65,-24.7,44.75,73.0,12.03
191,Singaraja,42,ID,1579987224,73,-8.11,115.09,83.23,6.6
192,Chokurdakh,82,RU,1579987182,86,70.63,147.92,-31.25,3.15
193,Korla,0,CN,1579987224,46,41.76,86.15,14.36,5.73
194,Jamestown,100,US,1579986743,95,42.1,-79.24,37.99,3.0
195,Lubbock,0,US,1579987011,28,33.6,-101.83,64.0,8.99
196,Grindavik,75,IS,1579987061,74,63.84,-22.43,35.6,8.05
197,Tiksi,0,RU,1579986979,70,71.69,128.87,-26.79,6.35
198,Isangel,33,VU,1579987200,82,-19.55,169.27,77.67,15.01
199,Prachuap Khiri Khan,95,TH,1579987224,80,11.82,99.78,77.27,10.94
200,Naze,100,JP,1579987224,85,28.37,129.48,69.26,7.61
201,Topolobampo,0,MX,1579987224,48,25.6,-109.05,78.01,1.01
202,Sao Miguel do Iguacu,2,BR,1579987057,42,-25.35,-54.24,86.63,4.72
203,Deputatsky,59,RU,1579987224,100,69.3,139.9,-40.74,0.94
204,Presidente Franco,0,PY,1579987224,38,-25.53,-54.62,88.54,5.3
205,Carnarvon,0,AU,1579986957,64,-24.87,113.63,78.64,19.28
206,Wlodawa,95,PL,1579987225,90,51.55,23.55,31.59,6.42
207,Kaeo,98,NZ,1579987225,89,-35.1,173.78,78.01,4.0
208,Andenes,41,NO,1579987142,100,69.31,16.12,25.0,31.0
209,Lebu,0,CL,1579986825,44,-37.62,-73.65,72.59,13.06
210,Bud,100,US,1579987225,95,39.45,-86.18,34.0,14.92
211,Jiayuguan,0,CN,1579987225,55,39.82,98.3,20.62,9.73
212,Pisco,100,PE,1579987225,87,-13.7,-76.22,73.99,11.01
213,Meulaboh,46,ID,1579987225,76,4.14,96.13,82.11,3.85
214,Westport,90,US,1579986790,87,41.14,-73.36,52.0,24.16
215,Chadiza,0,ZM,1579987225,97,-14.07,32.44,65.07,2.59
216,Nanortalik,100,GL,1579987104,81,60.14,-45.24,22.53,16.15
217,Syracuse,100,IT,1579987225,99,37.09,15.28,57.0,17.0
218,El Cobre,24,CU,1579987226,58,20.05,-75.95,76.42,5.59
219,Shetpe,100,KZ,1579987226,76,44.17,52.12,34.07,12.33
220,Jiwani,0,PK,1579987226,78,25.05,61.74,72.0,15.05
221,Batagay-Alyta,0,RU,1579987226,55,67.8,130.41,-34.8,4.27
222,Ust-Tsilma,100,RU,1579987226,98,65.44,52.15,-4.97,3.83
223,Kargasok,100,RU,1579987226,91,59.06,80.86,10.26,10.83
224,Ancud,100,CL,1579986965,94,-41.87,-73.82,60.33,8.79
225,Rio Claro,28,BR,1579987226,71,-22.41,-47.56,75.11,4.34
226,Pingyi,100,CN,1579987226,55,35.5,117.63,34.63,3.62
227,Larreynaga,0,NI,1579987226,28,12.68,-86.57,92.62,8.46
228,Port Lincoln,39,AU,1579987125,85,-34.73,135.87,64.17,4.7
229,Poum,77,NC,1579987226,80,-20.23,164.02,79.65,20.02
230,Souillac,75,MU,1579986779,83,-20.52,57.52,77.0,11.41
231,Hambantota,91,LK,1579987195,75,6.12,81.12,78.6,22.03
232,Impfondo,76,CG,1579987227,23,1.64,18.07,73.47,2.93
233,Labuhan,100,ID,1579987227,92,-6.88,112.21,75.49,2.8
234,Celestun,0,MX,1579987227,80,20.87,-90.4,73.9,21.88
235,Aykhal,100,RU,1579987227,100,66.0,111.5,-22.05,8.95
236,Arraial do Cabo,0,BR,1579986983,85,-22.97,-42.03,75.97,11.48
237,Puqi,100,CN,1579987227,95,29.72,113.88,40.05,3.67
238,Nhulunbuy,0,AU,1579987227,80,-12.23,136.77,84.96,18.7
239,Tuatapere,96,NZ,1579987063,53,-46.13,167.68,63.64,1.45
240,Ayagoz,100,KZ,1579987227,95,47.97,80.44,24.98,13.09
241,Khakhea,80,BW,1579987227,49,-24.69,23.49,76.26,11.05
242,Deer Lake,48,CA,1579987227,68,49.17,-57.43,24.01,11.99
243,Doha,0,QA,1579987021,35,25.29,51.53,60.01,10.0
244,Ahipara,86,NZ,1579987228,89,-35.17,173.17,78.01,4.0
245,Weyburn,0,CA,1579987228,77,49.67,-103.85,37.99,8.01
246,Okhotsk,41,RU,1579987228,68,59.38,143.3,-22.9,14.58
247,Miracema do Tocantins,100,BR,1579987228,90,-9.56,-48.4,80.53,2.73
248,Kahului,6,US,1579987135,71,20.89,-156.47,78.01,10.0
249,Bubaque,99,GW,1579987228,66,11.28,-15.83,79.34,15.88
250,Yangjiang,100,CN,1579987228,87,21.85,111.97,59.72,6.69
251,Pedasi,32,PA,1579987228,72,7.53,-80.03,82.45,19.39
252,Payson,1,US,1579987159,80,40.04,-111.73,46.0,2.93
253,Vila Velha,100,BR,1579986987,78,-20.33,-40.29,77.0,3.22
254,Upernavik,57,GL,1579987037,96,72.79,-56.15,-15.52,8.12
255,San Francisco,90,US,1579986973,87,37.77,-122.42,66.0,5.82
256,Nuuk,40,GL,1579987003,61,64.18,-51.72,14.0,9.17
257,Aden,100,YE,1579987087,76,12.78,45.04,78.01,8.99
258,Stokmarknes,100,NO,1579987078,74,68.56,14.91,28.99,8.99
259,Mareeba,99,AU,1579987229,95,-17.0,145.43,80.01,2.13
260,Mae Hong Son,0,TH,1579987229,36,19.3,97.97,47.14,1.9
261,Castelnaudary,99,FR,1579987229,89,43.32,1.95,52.0,1.68
262,Fairlie,100,GB,1579987229,84,55.76,-4.86,46.0,11.21
263,Hare Bay,25,CA,1579987229,91,48.85,-54.01,15.3,5.17
264,Kerrville,100,US,1579987229,89,30.05,-99.14,63.0,5.99
265,Cidreira,67,BR,1579987164,66,-30.18,-50.21,76.32,9.4
266,Byron Bay,8,AU,1579987229,91,-28.65,153.62,77.0,1.32
267,Aklavik,100,CA,1579986847,92,68.22,-135.01,-14.55,22.3
268,Dubuque,100,US,1579987229,86,42.48,-90.87,34.0,8.01
269,Waddan,73,LY,1579987229,27,29.16,16.14,60.08,5.03
270,Rio Esteban,0,HN,1579987229,61,15.83,-86.3,78.26,9.69
271,Tarbagatay,0,RU,1579987229,92,51.48,107.36,-4.61,1.43
272,Beloha,0,MG,1579987230,76,-25.17,45.05,70.12,15.32
273,Suez,0,EG,1579987230,60,29.97,32.53,49.55,4.47
274,Scottsbluff,0,US,1579987157,40,41.87,-103.67,52.0,11.99
275,Hesla,0,IN,1579987230,64,24.07,85.88,52.68,3.22
276,Malabo,3,GQ,1579987230,59,3.75,8.78,86.0,4.52
277,East London,0,ZA,1579986627,85,-33.02,27.91,77.31,0.51
278,Provideniya,0,RU,1579986995,73,64.38,-173.3,-7.44,4.99
279,Alyangula,100,AU,1579987230,83,-13.85,136.42,81.68,10.42
280,Iqaluit,13,CA,1579987230,67,63.75,-68.51,-27.0,8.99
281,Belaya Gora,100,RU,1579987230,91,68.53,146.42,-31.43,3.02
282,Srednekolymsk,100,RU,1579987084,97,67.45,153.68,-27.18,5.3
283,Alta Floresta,100,BR,1579987230,94,-9.88,-56.09,79.2,4.97
284,Kununurra,100,AU,1579986629,68,-15.77,128.73,85.19,3.49
285,Bratsk,100,RU,1579987230,72,56.13,101.61,14.0,4.0
286,Ribeira Grande,100,PT,1579986836,78,38.52,-28.7,54.05,5.77
287,Sambava,100,MG,1579987231,97,-14.27,50.17,72.5,2.15
288,Porto Franco,100,BR,1579987231,83,-6.34,-47.4,82.6,3.49
289,Biltine,0,TD,1579987231,18,14.53,20.92,60.67,16.35
290,Correntina,100,BR,1579987231,79,-13.34,-44.64,76.53,3.18
291,Rabaul,93,PG,1579987231,75,-4.2,152.17,82.27,6.4
292,Port Antonio,98,JM,1579987231,68,18.18,-76.46,80.01,3.0
293,Cairns,95,AU,1579987231,97,-16.92,145.77,80.01,3.06
294,Dakar,34,SN,1579987231,69,14.69,-17.44,73.85,24.74
295,Langsa,57,ID,1579987231,88,4.47,97.97,72.99,1.25
296,Barra,100,BR,1579987231,70,-11.09,-43.14,82.45,6.38
297,Severo-Yeniseyskiy,100,RU,1579987231,83,60.37,93.04,16.07,20.29
298,Vestmannaeyjar,74,IS,1579987165,57,63.44,-20.27,41.54,12.8
299,Avera,1,US,1579987231,47,33.19,-82.53,55.4,13.87
300,Sulangan,27,PH,1579987232,84,11.14,123.72,80.13,8.23
301,Dalbandin,0,PK,1579987232,75,28.89,64.41,52.41,7.4
302,Bethel,100,US,1579986496,96,41.37,-73.41,51.01,8.99
303,Margate,100,GB,1579987232,93,51.38,1.39,43.0,4.0
304,Bengkulu,78,ID,1579987232,91,-3.8,102.27,73.62,3.11
305,Fort Smith,75,US,1579987232,44,35.39,-94.4,60.01,3.67
306,Mwene-Ditu,83,CD,1579987232,84,-7.0,23.45,69.84,1.74
307,Itarema,100,BR,1579987232,78,-2.92,-39.92,81.16,7.63
308,Sitka,100,US,1579987232,97,57.05,-135.33,33.67,6.02
309,Batemans Bay,46,AU,1579987232,97,-35.72,150.18,73.0,1.9
310,Zeya,8,RU,1579987095,99,53.75,127.27,-28.41,0.76
311,Pemba,75,MZ,1579987232,94,-12.97,40.52,75.2,4.7
312,Mahibadhoo,100,MV,1579987232,82,3.78,72.97,80.87,12.08
313,Dumas,0,US,1579987232,29,35.87,-101.97,61.0,10.0
314,Constitucion,0,CL,1579987233,49,-35.33,-72.42,70.61,11.36
315,Te Anau,80,NZ,1579987233,83,-45.42,167.72,57.56,1.66
316,Chifeng,0,CN,1579987233,78,42.27,118.96,12.31,3.38
317,Sao Raimundo das Mangabeiras,94,BR,1579987233,82,-7.02,-45.48,80.44,4.03
318,Ixtapa,100,MX,1579987233,89,20.7,-105.2,77.0,1.01
319,Vao,40,NC,1579987191,79,-22.67,167.48,77.76,20.29
320,Boras,100,SE,1579987233,97,57.72,12.94,43.0,8.01
321,San Jose de Buan,38,PH,1579987233,99,12.05,125.03,71.69,2.93
322,Sao Filipe,38,CV,1579987233,52,14.9,-24.5,75.87,16.08
323,Vostochnyy,90,RU,1579987233,62,55.82,37.87,33.01,8.01
324,Mariehamn,100,AX,1579987233,85,60.1,19.93,37.11,20.58
325,Moron,0,AR,1579987006,27,-34.65,-58.62,98.01,3.0
326,Lima,100,PE,1579986944,63,-12.04,-77.03,78.01,7.58
327,Paraiso,23,CR,1579987233,49,9.84,-83.87,75.0,7.0
328,Hofn,100,IS,1579987234,95,64.25,-15.21,35.69,4.03
329,Alma,100,CA,1579987234,60,48.55,-71.65,27.0,6.15
330,Swift Current,100,CA,1579987231,96,50.28,-107.8,29.73,15.64
331,Broome,100,US,1579987234,97,42.25,-75.83,37.99,1.01
332,Puerto del Rosario,0,ES,1579987234,71,28.5,-13.86,59.67,7.09
333,Baruun-Urt,0,MN,1579987234,83,46.68,113.28,6.87,9.98
334,Xai-Xai,27,MZ,1579987234,75,-25.05,33.64,73.94,8.99
335,Arkhara,37,RU,1579987234,91,49.42,130.08,-10.53,3.27
336,Aljezur,3,PT,1579987234,85,37.32,-8.8,53.01,5.01
337,Torbay,0,CA,1579987199,74,47.67,-52.73,19.99,1.01
338,Kavieng,92,PG,1579987218,72,-2.57,150.8,83.55,8.93
339,Babati,100,TZ,1579987234,92,-4.22,35.75,67.37,3.04
340,Pinega,80,RU,1579987234,98,64.7,43.39,-4.68,5.57
341,Raja,21,SS,1579987235,20,8.46,25.68,63.88,5.12
342,Bokod,100,HU,1579987235,88,47.49,18.25,33.01,2.17
343,Xining,0,CN,1579987235,77,36.62,101.77,12.07,4.83
344,Araouane,100,ML,1579986705,8,18.9,-3.53,77.97,5.53
345,Hajdunanas,18,HU,1579987235,79,47.85,21.43,29.5,2.93
346,Gotsucho,100,JP,1579987235,76,35.0,132.22,49.77,10.29
347,Bambanglipuro,54,ID,1579987235,88,-7.95,110.28,75.18,3.76
348,Kruisfontein,0,ZA,1579987231,90,-34.0,24.73,67.35,5.73
349,Safi,55,MA,1579987235,88,32.3,-9.24,52.47,3.83
350,San Patricio,58,MX,1579987235,65,19.22,-104.7,79.16,7.52
351,Galesong,28,ID,1579987235,83,-5.32,119.37,78.06,2.86
352,Oddur,100,SO,1579987235,61,4.12,43.89,80.13,16.6
353,Verkhovazhye,93,RU,1579987236,93,60.75,42.05,15.84,8.03
354,Gravdal,100,NO,1579987236,84,68.12,13.5,33.49,25.17
355,Sri Aman,100,MY,1579987236,94,1.24,111.46,75.0,0.67
356,Ippy,100,CF,1579987236,20,6.27,21.22,71.64,6.96
357,Wajima,100,JP,1579987236,63,37.4,136.9,43.92,17.02
358,Osa,100,RU,1579987236,96,57.28,55.46,19.17,6.53
359,Qaqortoq,100,GL,1579987236,61,60.72,-46.03,17.6,4.7
360,Alofi,100,NU,1579986976,82,-19.06,-169.92,80.69,7.4
361,Luena,100,AO,1579987236,94,-11.78,19.92,65.16,1.88
362,Kuytun,54,RU,1579987236,83,54.34,101.5,10.33,3.47
363,Vanavara,100,RU,1579987217,88,60.34,102.28,26.64,13.78
364,Denpasar,83,ID,1579987236,86,-8.65,115.22,76.14,3.13
365,Ferkessedougou,0,CI,1579987236,9,9.6,-5.2,78.08,4.92
366,Port Hedland,0,AU,1579987236,60,-20.32,118.57,85.55,8.41
367,Salalah,56,OM,1579987124,83,17.02,54.09,73.0,5.84
368,Braganca,100,BR,1579987237,95,-1.05,-46.77,78.12,3.42
369,Marsala,100,IT,1579987237,69,37.8,12.44,61.0,1.99
370,Tidman,0,PH,1579987237,83,8.3,126.34,79.34,4.36
371,Mumford,72,GH,1579987237,68,5.26,-0.76,76.26,3.87
372,Los Llanos de Aridane,0,ES,1579987108,78,28.66,-17.92,61.0,4.34
